timestamp,stern,regression,database,cloud,api,season,terminal,python,machinelearning,statistics,mathematics,datavisualization,business,communication,fruit
1/22/2016 17:30:10,Finance,Yes,No,No,No,Summer,4,6,4,7,9,6,7,7,Apples
1/22/2016 17:30:16,Finance,Yes,Yes,Yes,Yes,Fall,5,1,1,6,8,6,8,10,Oranges
1/22/2016 18:00:21,Finance,Yes,No,No,No,Summer,1,5,1,5,8,1,6,8,Apples
1/22/2016 18:33:46,Statistics,Yes,Yes,Yes,Yes,Summer,3,5,1,8,7,6,6,7,Apples
1/22/2016 18:45:42,Information System,Yes,Yes,Yes,Yes,Fall,2,5,1,6,5,1,8,8,Oranges
1/22/2016 20:49:06,Statistics,Yes,No,No,No,Fall,2,1,1,3,7,2,6,8,Oranges
1/22/2016 21:43:49,Finance,Yes,No,Yes,No,Summer,1,6,1,8,8,5,8,9,Oranges
1/22/2016 22:20:16,Finance,Yes,Yes,No,No,Summer,1,5,1,7,7,4,8,8,Apples
1/23/2016 1:10:27,Finance,No,No,No,No,Fall,2,5,1,7,9,9,9,9,Oranges
1/23/2016 3:54:02,Finance,Yes,No,No,No,Summer,1,1,1,5,7,2,6,6,Apples
1/23/2016 6:59:45,Statistics,Yes,Yes,No,No,Spring,1,1,1,6,6,6,7,8,Oranges
1/23/2016 8:13:03,,Yes,No,No,No,Summer,1,2,1,7,9,6,7,7,Apples
1/23/2016 18:30:02,Information System,Yes,Yes,No,Yes,Fall,1,8,2,7,7,7,10,10,Oranges
1/23/2016 21:25:40,Marketing,No,No,No,No,Fall,1,1,1,1,3,5,7,7,Oranges
1/23/2016 22:59:25,NYU Shanghai Finance,Yes,No,No,No,Winter,1,1,1,5,6,5,6,6,Apples
1/23/2016 22:59:41,Accounting,No,Yes,No,No,Fall,2,6,1,6,8,4,8,9,Oranges
1/24/2016 0:24:13,Information System,Yes,No,Yes,No,Spring,1,5,1,8,7,8,8,8,Apples
1/24/2016 4:03:12,Information System,No,No,No,No,Spring,1,1,1,6,6,1,1,6,Oranges
1/24/2016 11:30:11,Information System,Yes,Yes,No,No,Spring,1,1,1,8,8,6,9,9,Apples
1/24/2016 13:43:13,Information System,No,No,No,No,Spring,7,5,2,4,6,8,9,9,Apples
1/24/2016 15:31:29,Information System,Yes,No,No,No,Fall,7,8,1,8,9,5,8,9,Oranges
1/24/2016 18:01:58,Information System,No,Yes,Yes,Yes,Winter,4,7,1,5,8,5,7,7,Apples
1/24/2016 21:40:13,Marketing,Yes,No,No,No,Fall,1,6,1,7,7,6,7,8,Oranges
1/24/2016 22:05:12,Marketing,Yes,No,No,No,Fall,1,1,1,5,5,1,8,8,Apples
1/24/2016 23:07:45,Information System,Yes,No,Yes,Yes,Winter,4,4,1,5,6,3,8,8,Apples
1/25/2016 1:47:15,Business and Economic Strategy in Gallatin,No,No,No,No,Spring,2,3,1,5,7,7,7,7,Oranges
1/25/2016 4:42:13,Operations,No,No,No,No,Fall,1,1,1,5,5,1,8,9,Apples
1/25/2016 10:05:14,Finance,Yes,No,No,No,Fall,4,1,5,7,8,6,6,6,Oranges
1/25/2016 18:14:23,Management and Organizations,Yes,Yes,No,No,Fall,7,8,4,8,7,5,9,9,Oranges
1/26/2016 1:39:48,Statistics,Yes,Yes,No,No,Summer,3,1,1,6,8,7,8,6,Oranges
1/26/2016 3:22:32,Marketing,Yes,Yes,No,Yes,Spring,2,1,2,8,7,9,9,9,Apples
1/26/2016 18:03:30,Information System,No,No,No,No,Spring,1,1,1,3,5,1,5,8,Apples
1/26/2016 21:18:20,And information systems!,Yes,Yes,No,No,Spring,1,1,1,7,7,1,3,4,Oranges
1/26/2016 22:22:08,Economics,No,No,No,No,Fall,1,6,1,5,8,1,7,7,Oranges
1/27/2016 0:46:38,Information System,No,No,Yes,Yes,Spring,7,5,3,6,7,7,8,8,Oranges
1/27/2016 1:18:06,Finance,Yes,No,No,Yes,Fall,1,3,1,7,7,5,7,7,Oranges
1/27/2016 16:10:42,Finance,No,No,No,No,Summer,1,1,1,6,8,1,9,8,Apples
1/27/2016 19:08:03,Finance,Yes,Yes,No,Yes,Fall,4,5,2,5,6,5,8,5,Apples
1/27/2016 20:00:53,Business & Political Economy,Yes,Yes,No,Yes,Spring,1,1,1,5,5,2,8,9,Apples
2/1/2016 0:33:51,Finance,No,No,Yes,No,Summer,3,6,3,8,9,7,8,8,Apples
2/1/2016 16:46:51,,Yes,No,No,No,Fall,1,2,1,3,6,1,2,3,Apples
